CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Mecânica,2005.0,1.0,Engenharia Elétrica,2003.0,3,Engenharia Civil,2008.0,3.0,Bioquímica E Imunologia,2018.0,2.0
Mecânica,1974.0,1.0,Ciência Da Computação,2007.0,3,Engenharia Química,2017.0,3.0,Ciências Da Computação,2010.0,2.0
Magistério,1997.0,1.0,Engenharia Civil,1986.0,3,Engenharia Mecânica,2018.0,3.0,Química,2013.0,2.0
Mecânica,2007.0,1.0,Ciência Da Computação,2009.0,3,Administração,2016.0,3.0,Ciências Da Computação,2013.0,2.0
Mecânica,1996.0,1.0,Engenharia Mecânica,1995.0,3,Administração,2017.0,3.0,Química,2016.0,1.0
Mecânica,2004.0,1.0,Física,2011.0,3,Engenharia Mecânica,2003.0,3.0,Química Analítica,2015.0,1.0
Mecânica,1985.0,1.0,Sistemas De Informação,2005.0,3,Engenharia Mecânica,2005.0,3.0,Filosofia Do Direito,2015.0,1.0
Meio Ambiente,1997.0,1.0,Engenharia Mecânica,1997.0,3,Ciências Da Computação,2013.0,3.0,Química Analítica,2017.0,1.0
Informática Industrial,2009.0,1.0,Pedagogia,2008.0,3,Biologia Vegetal,2011.0,3.0,Filosofia,2019.0,1.0
Informática Industrial (integrado Ao Ensino Médio),2007.0,1.0,Engenharia Industrial Mecânica,2005.0,3,Ciências Da Computação,2011.0,3.0,Evolução Crustal E Recursos Naturais,2013.0,1.0
Informática Industrial,1997.0,1.0,Química,1999.0,3,Modelagem Matemática E Computacional,2003.0,3.0,Evolução Crustal E Recursos Naturais,2010.0,1.0
Mecânica,1983.0,1.0,Letras - Português,2005.0,3,Matemática,2011.0,3.0,Evolução Crustal E Recursos Naturais,2000.0,1.0
Informática Industrial/automação,2007.0,1.0,Engenharia Elétrica,2012.0,3,Ciências Da Computação,2008.0,3.0,Estudos De Linguagens,2022.0,1.0
Informática Industrial/automação,2008.0,1.0,Matemática,2000.0,3,Educação Tecnológica,2003.0,3.0,Química Analítica,2006.0,1.0
Instrumentação,1979.0,1.0,Nutrição,2004.0,3,Engenharia Mecânica,2015.0,3.0,Química,2011.0,1.0
Mecânica,2003.0,1.0,Engenharia Elétrica,1990.0,3,Ciências Da Computação,2010.0,3.0,Estudos Literários,2014.0,1.0
Mecânica,1990.0,1.0,Engenharia Industrial Mecânica,2006.0,3,Engenharia Civil,2007.0,3.0,Estudos Lingüísticos,2014.0,1.0
Instrumentação Eletrônica E Controle De Porcessos,2004.0,1.0,Engenharia Elétrica,1991.0,3,Educação Tecnológica,2018.0,3.0,Fisiologia E Farmacologia,2012.0,1.0
Mecânica,1980.0,1.0,Farmácia,1999.0,3,Engenharia Mecânica,2006.0,3.0,"Estudos De Linguagens (letras): Literatura, Cultura E Tecnologia",2017.0,1.0
