CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Meio Ambiente,2008.0,1,Programa Esp. De Formação Pedagógica De Docentes,2010.0,1.0,,,,,,
Meio Ambiente,2009.0,1,Engenharia Industrial Mecânica,1995.0,1.0,,,,,,
Química Industrial,1998.0,1,Engenharia Mecânica,2011.0,1.0,,,,,,
Meio Ambiente,2012.0,1,Engenharia De Operação Elétrica,1981.0,1.0,,,,,,
Meio Ambiente E Saneamento,1997.0,1,Engenharia De Operações Mecânica,1980.0,1.0,,,,,,
Mineração,2001.0,1,Engenharia De Produção Civil,2007.0,1.0,,,,,,
Química Industrial,1997.0,1,Engenharia De Produção Civil,2011.0,1.0,,,,,,
Mineração,2005.0,1,Engenharia De Produção Civil,2012.0,1.0,,,,,,
Mineração,2007.0,1,Engenharia De Produção Civil,2014.0,1.0,,,,,,
Mineração,2008.0,1,Engenharia De Produção E Engenharia Civil,2006.0,1.0,,,,,,
Mineração,2009.0,1,Engenharia De Transportes,2016.0,1.0,,,,,,
Mineração,2010.0,1,Engenharia Eletrica,2011.0,1.0,,,,,,
Planejamento E Gestão Em Tecnologia Da Informação,2008.0,1,Engenharia Eletrica,2014.0,1.0,,,,,,
  Mecânico,1978.0,1,Engenharia Elétrica,1986.0,1.0,,,,,,
Estradas - Ênfase Em Transporte E Trânsito,2002.0,1,Engenharia Elétrica,1991.0,1.0,,,,,,
Informática Industrial,2007.0,1,Engenharia Elétrica,1995.0,1.0,,,,,,
Eletromecânica,1998.0,1,Engenharia Elétrica,1997.0,1.0,,,,,,
 Química,1994.0,1,Engenharia Elétrica,1998.0,1.0,,,,,,
 Química,1997.0,1,Engenharia Elétrica,2001.0,1.0,,,,,,
 Química,2005.0,1,Engenharia Elétrica,2002.0,1.0,,,,,,
 Química,2010.0,1,Engenharia Elétrica,2005.0,1.0,,,,,,
 Química Industrial,1994.0,1,Engenharia De Operação Mecânica,1977.0,1.0,,,,,,
 Química Industrial,1999.0,1,Engenharia De Materiais,2018.0,1.0,,,,,,
 Química Industrial,2004.0,1,Engenharia Elétrica,2011.0,1.0,,,,,,
Automação Industrial,2012.0,1,Engenharia De Controle E Automação,2016.0,1.0,,,,,,
Edificações,1975.0,1,Administração,2012.0,1.0,,,,,,
Edificações,1979.0,1,Administração,2013.0,1.0,,,,,,
Edificações,1984.0,1,Administração,2015.0,1.0,,,,,,
Edificações,1985.0,1,Controle De Processos Industrais,2011.0,1.0,,,,,,
Edificações,1992.0,1,Eletrônica,1989.0,1.0,,,,,,
Edificações,1993.0,1,Eng. Ind. Mecânica,1989.0,1.0,,,,,,
Edificações,1995.0,1,Engeharia Mecanica,2012.0,1.0,,,,,,
