CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Mecânica,1995.0,1.0,Engenharia Industrial Elétrica,2009.0,3,Engenharia Mecânica,2002.0,4.0,Estruturas,2014.0,1.0
Mecânica,1998.0,1.0,Engenharia Elétrica,1999.0,3,Engenharia Mecânica,1999.0,4.0,Engenharia Metalúrgica E De Minas,1998.0,1.0
Saneamento,1996.0,1.0,Engenharia Mecânica,2000.0,3,Modelagem Matemática E Computacional,2006.0,4.0,Estudos De Linguagem,2018.0,1.0
Mecânica,1994.0,1.0,Engenharia Mecânica,2002.0,3,Tecnologia,2002.0,4.0,Estudos De Linguagens,2020.0,1.0
Segundo Grau  - Eletrônica,1995.0,1.0,Engenharia Elétrica,2002.0,3,Modelagem Matemática E Computacional,2019.0,4.0,Estudos De Linguagens,2021.0,1.0
Mecânica,1989.0,1.0,Engenharia Elétrica,1996.0,3,Administração,2018.0,3.0,Estudos De Linguagens,2022.0,1.0
Saneamento,1999.0,1.0,Ciências Biológicas,2016.0,3,Modelagem Matemática E Computacional,2020.0,3.0,Estudos Lingüísticos,2018.0,1.0
Qúimica,1999.0,1.0,Ciências Biológicas,2014.0,3,Engenharia Civil,2010.0,3.0,Engenharia Metalúrgica E De Minas,2003.0,1.0
Saneamento,1994.0,1.0,Ciências Biológicas,2013.0,3,Engenharia Civil,2011.0,3.0,Engenharia Metalúrgica E De Minas,2009.0,1.0
Radiologia,2004.0,1.0,Engenharia Mecânica,2011.0,3,Engenharia Civil,2012.0,3.0,Engenharia Química,1997.0,1.0
Teatro Universitário,2008.0,1.0,Engenharia Civil,2002.0,3,Educação Tecnológica,2018.0,3.0, De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem),2008.0,1.0
Química Industrial,2010.0,1.0,Engenharia Industrial Mecânica,1984.0,3,Engenharia Mecânica,2017.0,3.0,Geografia (organizacao Do Espaco),2013.0,1.0
Química Industrial,2009.0,1.0,Engenharia Mecânica,2012.0,3,Engenharia Química,2018.0,3.0,Química,1995.0,1.0
Química Industrial,2008.0,1.0,Engenharia Elétrica,2007.0,3,Ciências Da Computação,2011.0,3.0,Química,2012.0,1.0
Química Industrial,2003.0,1.0,Engenharia Elétrica,2008.0,3,Ciências Da Computação,2010.0,3.0,Química,2010.0,1.0
Mecânica,2004.0,1.0,Engenharia Química,2015.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2011.0,3.0,Química,2009.0,1.0
Mecânica,2005.0,1.0,Engenharia Industrial Elétrica,2006.0,3,Educação Tecnológica,2020.0,3.0,Química,2006.0,1.0
Mecânica,2009.0,1.0,Química,2004.0,3,Engenharia Mecânica,2021.0,3.0,Química,2003.0,1.0
Mecânica,1986.0,1.0,Engenharia Industrial Mecânica,2010.0,3,Engenharia Civil,2018.0,3.0,Química,2002.0,1.0
Mecânica,1983.0,1.0,Engenharia De Energia,2012.0,3,Administração,2021.0,3.0,Quimica Inorganica,2020.0,1.0
Mecânica,1985.0,1.0,Química Tecnológica,2014.0,3,Administração,2019.0,3.0,Química,2016.0,1.0
Informática Industrial/automação,2009.0,1.0,Química Tecnológica,2017.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2014.0,3.0,Quimica Inorganica,2010.0,1.0
Téc. Em Química,1999.0,1.0,Engenharia Industrial Mecânica,2003.0,3,Química,1998.0,3.0,Quimica,2012.0,1.0
Téc Em Eletrônica,1994.0,1.0,Engenharia De Produção Civil,2004.0,3,Engenharia Civil,2009.0,3.0,Pós-graduação Em Saúde Coletiva,2019.0,1.0
Turismo E Lazer,2010.0,1.0,Engenharia De Produção Civil,2005.0,3,Tecnologia,2000.0,3.0,Pós-graduação Em Ciências E Técnicas Nucleares,2015.0,1.0
Turismo E Lazer,2009.0,1.0,Sistemas De Informação,2009.0,3,Engenharia Mecânica,2006.0,3.0,Pós Engenharia De Automação E Sistemas,2017.0,1.0
Informática Industrial,2005.0,1.0,Arquitetura E Urbanismo,2002.0,3,Matemática,2014.0,3.0,Psicossociologia De Comunid.e Ecologia Social,2020.0,1.0
Turismo E Lazer,2003.0,1.0,Matemática,2007.0,3,Engenharia Mecânica,2000.0,3.0,Química,2013.0,1.0
Informática Industrial,2007.0,1.0,Engenharia Metalúrgica,2015.0,3,Engenharia Mecânica,1998.0,3.0,Química,2017.0,1.0
Turismo E Lazer,2001.0,1.0,Pedagogia,2001.0,3,Química,2013.0,3.0,Programa De Pós-graduação Em Psicologia: Cognição E Comportamento,2021.0,1.0
Turismo E Lazer,2000.0,1.0,Pedagogia,2005.0,3,Modelagem Matemática E Computacional,2005.0,3.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2014.0,1.0
Informática Industrial (integrado Ao Ensino Médio),2011.0,1.0,Química Tecnológica,2010.0,3,Engenharia Mecânica,2009.0,3.0,Urbanismo,2010.0,1.0
Turismo - Produção De Eventos,2008.0,1.0,Engenharia De Computação,2015.0,3,Educação Tecnológica,2005.0,3.0,Thermique Et Energétique,1996.0,1.0
Informática Industrial/automação,2010.0,1.0,Engenharia De Computação,2014.0,3,"Saneamento, Meio Ambiente E Recursos Hídricos",2018.0,3.0,Tecnologia Nuclear,2004.0,1.0
