Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
1729879819280874,,,,,,,,,Ciência Da Computação,Pontifícia Universidade Católica de Minas Gerais,1996,2000,,,,,Tecnologia,Centro Federal de Educação Tecnológica de Minas Gerais,2001,2003,Cognitive Science,University of Sussex,2008,2013
1767234297647906,,,,,,,,,Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2020,,,,,,Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,2016,2020
1835449945133209,,,,,,,,,Controle De Processos Industrais,Centro Federal de Educação Tecnológica de Minas Gerais,2010,2011,,,,,Manufatura Integrada Por Computador,Centro Federal de Educação Tecnológica de Minas Gerais,1995,1998,Engenharia Mecânica,Universidade de São Paulo,2001,2006
1841799475396072,,,,,Química,Centro Educacional Integral,1999,2000,Engenharia Mecatrônica,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2013,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,Engenharia Elétrica,Universidade Estadual de Campinas,2016,2019
1858596002181893,,,,,,,,,Sistemas De Informação,Universidade Presidente Antônio Carlos,2002,2005,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2009,Engenharia Elétrica,Universidade Estadual de Campinas,2011,2019
1868816663610134,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2001,2004,Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2004,2006,,,,,Física,Universidade Federal de Minas Gerais,2013,2016,Física,Universidade Federal de Minas Gerais,2016,2021
1875326035463751,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1995,Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais,1997,2002,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,2004,2006,Engenharia Mecânica,Universidade Federal de Minas Gerais,2007,2012
1899356986619099,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1993,Ciências Biológicas,Pontifícia Universidade Católica de Minas Gerais,1994,1997,,,,,Agroquímica,Universidade Federal de Lavras,1999,2001,Ciências Dos Alimentos,Universidade Federal de Lavras,2001,2005
1920803055130348,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1992,Pedagogia,Universidade Federal de Minas Gerais - Faculdade de Educação,1998,2001,,,,,Educação Em Ciências,Universidade Federal de Minas Gerais,2003,2005,Educação,Universidade de São Paulo,2007,2011
1959433482643214,,,,,Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1982,1984, Especial De Formação De Professores,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1994,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,1995,1998,Engenharia Mecânica,Universidade Federal de Minas Gerais,2000,2005
1964198733092846,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,Medicina Veterinária,Universidade Federal de Minas Gerais,2008,2013,,,,,Ciências De Alimentos,Universidade Federal de Minas Gerais,2014,2016,Ciências De Alimentos,Universidade Federal de Minas Gerais,2016,2021
