Origem,Destino
Universidade Federal de Minas Gerais/MESTRADO/Construção Civil,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Federal de Minas Gerais/DOUTORADO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Politécnico da PUC Minas/GRADUACAO/Engenharia Mecanica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena/esquema 1
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena/esquema 1
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena/esquema 1,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Química Industrial
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Química Industrial
Universidade Federal de Ouro Preto/GRADUACAO/Química Industrial,Universidade Federal de Ouro Preto/MESTRADO/Evolução Crustal E Recursos Naturais
Universidade Federal de Ouro Preto/MESTRADO/Evolução Crustal E Recursos Naturais,Universidade Federal de Ouro Preto/DOUTORADO/Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Eletricidade
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Eletricidade
