Origem,Destino
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Música - Música Popular
Universidade Federal de Minas Gerais/GRADUACAO/Música - Música Popular,Universidade Federal de Minas Gerais/MESTRADO/Música
Universidade Federal de Minas Gerais/MESTRADO/Música,Universidade Federal de Minas Gerais/DOUTORADO/Música
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Informática
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Universidade do Estado do Rio de Janeiro/MESTRADO/Engenharia Eletrônica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências Biológicas
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências Biológicas,Fundação Oswaldo Cruz/MESTRADO/Biologia Computacional E Sistemas
Fundação Oswaldo Cruz/MESTRADO/Biologia Computacional E Sistemas,Universidade Federal de Minas Gerais/DOUTORADO/Genética
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Sistemas Elétricos De Potencia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Sistemas Elétricos De Potencia,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecatrônica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecatrônica
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecatrônica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica,Budapest University of Technology and Economics/DOUTORADO/Mechanical Engineering
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação de Educação para o trabalho de Minas Gerais/GRADUACAO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação de Educação para o trabalho de Minas Gerais/GRADUACAO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação de Educação para o trabalho de Minas Gerais/GRADUACAO/Química
Fundação de Educação para o trabalho de Minas Gerais/GRADUACAO/Química,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Catolica de Minas Gerais/GRADUACAO/Filosofia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Catolica de Minas Gerais/GRADUACAO/Filosofia
Pontifícia Universidade Catolica de Minas Gerais/GRADUACAO/Filosofia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Formiga/GRADUACAO/Ciência Da Computação
Centro Universitário de Formiga/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia,Université Paris Saclay/MESTRADO/Farmacotécnica E Biofarmácia
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia,Université Paris Saclay/MESTRADO/Farmacotécnica E Biofarmácia
Université Paris Saclay/MESTRADO/Farmacotécnica E Biofarmácia,Universidade Federal de Minas Gerais/DOUTORADO/Fisiologia E Farmacologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Universidade Federal de Minas Gerais/GRADUACAO/Química,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação,Universidade Federal de Minas Gerais/MESTRADO/Análise E Modelagem De Sistemas Ambientais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Gama Filho/GRADUACAO/Arquitetura
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena,Universidade Federal de Minas Gerais/MESTRADO/Sociologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Direito
Universidade Federal de Minas Gerais/GRADUACAO/Direito,Universidade Federal de Minas Gerais/MESTRADO/Direito
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Uberaba/GRADUACAO/Engenharia Civil
Universidade de Uberaba/GRADUACAO/Engenharia Civil,Universidade Federal de Ouro Preto/MESTRADO/Engenharia Geotécnica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
Universidade Federal de Minas Gerais/GRADUACAO/Física,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica,Universidade Federal de Minas Gerais/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Pedagogia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Pedagogia
Universidade Federal de Lavras/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Metodista Izabela Hendrix/GRADUACAO/Ciências Biológicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia,"Centro de Desenvolvimento da Tecnologia Nuclaer/MESTRADO/Ciência E Tecnologia Das Radiações, Minerais E Mat"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Pernambuco/GRADUACAO/Geografia - Licenciatura
Universidade de Pernambuco/GRADUACAO/Geografia - Licenciatura,Universidade Federal de Minas Gerais/MESTRADO/Geografia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Serviço Social
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Serviço Social
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Serviço Social,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Informação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Santa Catarina/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia Com Habilitação Em Indústria
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia Com Habilitação Em Indústria,Universidade Federal de Minas Gerais/MESTRADO/Ciências Farmacêuticas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Ciência Da Computação
Universidade Federal de Viçosa/GRADUACAO/Ciência Da Computação,Universidade Federal de Viçosa/MESTRADO/Ciência Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Passo Fundo/GRADUACAO/Direito
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Passo Fundo/GRADUACAO/Direito
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Passo Fundo/GRADUACAO/Direito
Universidade de Passo Fundo/GRADUACAO/Direito,Centro Universitário Unihorizontes/MESTRADO/Administração
Universidade de Passo Fundo/GRADUACAO/Direito,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica (ufsj / Cefet-mg)
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica (ufsj / Cefet-mg),Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Sociais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Sociais
Universidade Federal de Minas Gerais/GRADUACAO/Ciências Sociais,Universidade de Brasília/MESTRADO/Antropologia
Universidade de Brasília/MESTRADO/Antropologia,Universidade Federal de Goiás/DOUTORADO/Antropologia Social
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciencia Da Computação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciencia Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdae Estácio de Sá/GRADUACAO/ Superior De Tecnologia Em Gestão De Rh
Faculdae Estácio de Sá/GRADUACAO/ Superior De Tecnologia Em Gestão De Rh,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Ciência Da Computação
Universidade Federal de Lavras/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Estadual de Campinas/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Newton Paiva/GRADUACAO/Jornalismo
Centro Universitário Newton Paiva/GRADUACAO/Jornalismo,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdades Integradas de Cataguases/GRADUACAO/Matemática
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdades Integradas de Cataguases/GRADUACAO/Matemática
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdades Integradas de Cataguases/GRADUACAO/Matemática
Faculdades Integradas de Cataguases/GRADUACAO/Matemática,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica - Cefet/mg - Ufsj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade da Região de Joinville/GRADUACAO/Gestão De Serviços E Negocios Internacionais
Universidade da Região de Joinville/GRADUACAO/Gestão De Serviços E Negocios Internacionais,Universidade da Região de Joinville/MESTRADO/Engenharia De Processos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia,Universidade Federal de Juiz de Fora/MESTRADO/Psicologia
Universidade Federal de Juiz de Fora/MESTRADO/Psicologia,Universidade Federal de Juiz de Fora/DOUTORADO/Psicologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade FUMEC/GRADUACAO/Engenharia De Produção Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica Docentes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica Docentes
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica Docentes,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Engenharia Elétrica
Universidade Federal de Ouro Preto/GRADUACAO/Engenharia Elétrica,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação Universidade de Itaúna/GRADUACAO/Engenharia Eletrônica
Fundação Universidade de Itaúna/GRADUACAO/Engenharia Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,Universidade Federal de Minas Gerais/MESTRADO/Biologia Celular
Universidade Federal de Minas Gerais/MESTRADO/Biologia Celular,Universidade Federal de Minas Gerais/DOUTORADO/Biologia Celular
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Enfermagem
Universidade Federal de Minas Gerais/GRADUACAO/Enfermagem,Universidade Federal de Minas Gerais/MESTRADO/Enfermagem
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia
Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciência Da Computação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciência Da Computação,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenhari Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenhari Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade FUMEC/GRADUACAO/Superior Processamento De Dados
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade FUMEC/GRADUACAO/Superior Processamento De Dados
Universidade FUMEC/GRADUACAO/Superior Processamento De Dados,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Psicologia
Universidade Federal de Minas Gerais/GRADUACAO/Psicologia,Instituto René Rachou/MESTRADO/Saúde Coletiva
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdades Milton Campos/GRADUACAO/Direito
Faculdades Milton Campos/GRADUACAO/Direito,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,PUC Minas/GRADUACAO/Engenharia Elétrica
PUC Minas/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais/GRADUACAO/Ciências Biológicas"
"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais/GRADUACAO/Ciências Biológicas",Universidade Federal de Alfenas/MESTRADO/Ciências Ambientais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Cultural Newton Paiva/GRADUACAO/Psicologia
Instituto Cultural Newton Paiva/GRADUACAO/Psicologia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Direito
Universidade Federal de Minas Gerais/GRADUACAO/Direito,Universidade de Kyoto/MESTRADO/Direito Internacional Publico
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Metodista Izabela Hendrix/GRADUACAO/Arquitetura E Urbanismo
Centro Universitário Metodista Izabela Hendrix/GRADUACAO/Arquitetura E Urbanismo,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Uberlândia/GRADUACAO/Ciencias Biologicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Uberlândia/GRADUACAO/Ciencias Biologicas
Universidade Federal de Uberlândia/GRADUACAO/Ciencias Biologicas,Universidade Federal de Minas Gerais/MESTRADO/Ciências Biológicas (microbiologia)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia,Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Sociais
Universidade Federal de Minas Gerais/GRADUACAO/Ciências Sociais,Universidade Federal de Minas Gerais/MESTRADO/Demografia
Universidade Federal de Minas Gerais/MESTRADO/Demografia,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Federal Minas Gerais/GRADUACAO/Ciência Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Federal Minas Gerais/GRADUACAO/Ciência Da Computação
Instituto Federal Minas Gerais/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Estatística
Universidade Federal de Minas Gerais/GRADUACAO/Estatística,Universidade Federal de Minas Gerais/MESTRADO/Estatística
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário do Planalto de Araxá/GRADUACAO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Minas
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Minas,"Universidade Federal do Rio Grande do Sul/MESTRADO/Engenharia De Minas, Metalúrgica E De Materiais"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Comunicação Social - Relações Públicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Comunicação Social - Relações Públicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia,Universidade Metodista de São Paulo/MESTRADO/Comunicação Social
Universidade Metodista de São Paulo/MESTRADO/Comunicação Social,Universidade Federal de Minas Gerais/DOUTORADO/Comunicação Social
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Ciência Da Computação
Universidade Federal de Lavras/GRADUACAO/Ciência Da Computação,Universidade de São Paulo/MESTRADO/Ciências Da Computação E Matemática Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
