Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
1875326035463751,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1995,,,,,,,,,,,,,,,,
1899356986619099,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1993,,,,,,,,,,,,,,,,
1920803055130348,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1992,,,,,,,,,,,,,,,,
1959433482643214,,,,,Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1982,1984, Especial De Formação De Professores,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1994,,,,,,,,,,,,
1964198733092846,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,,,,,,,,,,,,,,,,
1989081286274816,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2000,,,,,,,,,,,,,,,,
2003009101258670,,,,,,,,,Programa Especial De Formação De Docente,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1993,,,,,,,,,,,,
2003051305652723,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1978,1981,,,,,,,,,,,,,,,,
2021890970181321,,,,,  Mecânico,Centro Federal de Educação Tecnológica de Minas Gerais,1974,1978,,,,,,,,,,,,,,,,
2039900917750691,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1983,1985,,,,,,,,,,,,,,,,
2059026424367284,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2003,,,,,,,,,,,,,,,,
2109150393605727,,,,,,,,,Licenciatura Plena,Centro Federal de Educação Tecnológica de Minas Gerais,1988,1989,,,,,,,,,,,,
2157968516048040,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2003,,,,,,,,,,,,,,,,
2168277444752193,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1998,,,,,,,,,,,,
2173798953418445,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2009,2011,,,,
2202102584504407,,,,,,,,,Engenharia De Operação Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1974,1977,,,,,,,,,,,,
2204279029918735,,,,,,,,,,,,,,,,,Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2012,2014,Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2017,
2264931829840693,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1993,,,,,,,,,,,,
2270334190661422,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,1979,1981,,,,,,,,,,,,,,,,
2279435887416972,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1983,1985,,,,,,,,,,,,,,,,
2297262157782323,,,,, Eletronica,Centro Federal de Educação Tecnológica de Minas Gerais,1995,1997,,,,,,,,,,,,,,,,
2315264795654609,,,,,,,,,Tecnologia Em Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2001,2004,,,,,,,,,,,,
2350999296977270,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1995,,,,,,,,,,,,,,,,
2394009040939868,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,,,,
2395411911546232,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1992,,,,,,,,,,,,,,,,
2408594767683122,,,,,,,,,Engenharia De Operações Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1977,1980,,,,,,,,,,,,
2414677052501972,,,,, Industrial Em Saneamento,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1997,,,,,,,,,,,,,,,,
2541931523196689,,,,, Química,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1992,,,,,,,,,,,,,,,,
2545337686252068,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,,,,
2572462775582499,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,,,,,,,,,,,,,,,,
2580986429763465,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,2003,2005,,,,,,,,,,,,,,,,
2582202671258213,,,,,,,,,,,,,,,,,Tecnologia,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1997,,,,
2586202325653230,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,1996,1998,,,,,,,,,,,,,,,,
2622198823346358,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2010,,,,
2628557550611049,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1999,2005,,,,,,,,,,,,
2664722461551742,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2011,,,,,,,,,,,,,
2671579138286779,,,,,Eletromecanica,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2004,,,,,,,,,,,,,,,,
,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1976,1979,,,,,,,,,,,,,,,,
2759397663052419,,,,,Meio Ambiente,"Centro Federal de Educação Tecnológica de Minas Gerais, campus Ouro Preto",2006,2007,,,,,,,,,,,,,,,,
2763286712009012,,,,,Eletrotécnica,Centro Federal de Educação Tecnológica de Minas Gerais,1995,1998,,,,,,,,,,,,,,,,
2774946715740027,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,,,,,,,,,,,,,,,,
2779265978428042,,,,, Industrial De Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1985,1988,Programa Especial De Formação Para Docentes,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2002,,,,,Educação Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,,,,
2792357895049279,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1991,,,,,,,,,,,,,,,,
2835433621443406,,,,,,,,,,,,,,,,,Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais,2014,2015,,,,
2858047951009808,,,,, Eletrotécnica,Centro Federal de Educação Tecnológica de Minas Gerais,1977,1980,Licenciatura Plena Para Graduação Professores 2o G,Centro Federal de Educação Tecnológica de Minas Gerais,1991,1991,,,,,,,,,,,,
2888501805559990,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1985,1988,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1995,,,,,,,,,,,,
2927636393829724,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1999,,,,,,,,,,,,
2962992091083183,,,,,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2012,2016,,,,,,,,,,,,
3017936660747980,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2004,,,,,,,,,,,,,,,,
3037359640502906,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2004,2009,,,,,,,,,,,,
3081335079399561,,,,,,,,,,,,,,,,,Educação Tecnológica - Disciplina Isolada Tópicos,Centro Federal de Educação Tecnológica de Minas Gerais,2007,,,,,
3084251272040826,,,,,,,,,Tecnologia Em Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2003,2006,,,,,,,,,,,,
3109237342394417,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2003,,,,,,,,,,,,,,,,
3209006279873697,,,,,,,,,,,,,,,,,,,,,Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2018,
3265727266094418,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2002,,,,,,,,,,,,,,,,
3334471497786718,,,,, Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1994,,,,,,,,,,,,,,,,
3345095295680144,,,,,,,,, De Licenciatura Esquema 2,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1993,,,,,,,,,,,,
3350234515830996,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2000,,,,,,,,,,,,,,,,
3364052641493334,,,,,Eletrotécnica,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1989,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1991,1996,,,,,,,,,,,,
3401819655719801,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1997,,,,,,,,,,,,,,,,
3406193940120417,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,,,,,,,,,,,,,,,,
3424921071626104,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,1995,1997,,,,,,,,,,,,,,,,
3428069418812707,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2013,,,,,,,,,,,,
3494771555107693,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1999,2005,,,,,,,,,,,,
3518531140136427,,,,,,,,,Engenharia Ambiental E Sanitária,Centro Federal de Educação Tecnológica de Minas Gerais,2018,,,,,,,,,,,,,
3518627763230809,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2011,,,,
3540448178525491,,,,,Meio Ambiente,Centro Federal de Educação Tecnológica de Minas Gerais,2003,2004,,,,,,,,,,,,,,,,
3565264069058355,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2004,,,,,,,,,,,,,,,,
3627302739758354,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais- UNED - Araxá,1996,1999,,,,,,,,,,,,,,,,
3638684089799161,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1995,1998,,,,,,,,,,,,,,,,
3677015295211434,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1976,1978,,,,,,,,,,,,,,,,
3681609226454255,,,,,,,,,Programa Especial De Formação De Docente,Centro Federal de Educação Tecnológica de Minas Gerais,2014,2015,,,,,,,,,,,,
3745283459397281,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1973,1976,,,,,,,,,,,,,,,,
3748310244446316,,,,,Quimica Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2000,,,,,,,,,,,,,,,,
