Identificador,Pontuação
6615691337576245,1
6615797307685471,1
6649784748705469,1
6660577553508492,1
6660877877652322,1
6669774706420842,1
6683288748187798,2
6691236830115968,1
6695611812296662,1
6700427179718843,1
6714860178987392,2
6722079964176189,2
6725003764745396,2
6740068631948149,1
6751173317474006,1
6751542602227045,1
6761210593243593,2
6786083900656695,1
6790240222257129,2
6795460071035579,1
6808701070994140,1
6829903931545154,1
6830310718895399,1
6848155537418775,1
6848497689176388,1
6850678036173013,1
6856609358934321,1
6858770923141197,1
6874558123228959,1
6885406761382549,1
6890505178731352,2
6894810822648983,1
6903477930411082,1
6944248864593116,1
6961594073213770,1
6965580657603064,1
6975509309502460,1
6983473941512639,1
6992718520327609,2
6998459829782655,1
7005344369675375,1
7016483533353469,3
7018809729634804,1
7019379326336504,1
7027397326836366,1
7027926223309460,2
7028446303151929,1
7030605162734260,2
7035524120623369,2
7072412059635601,2
7075669442215378,2
7078554423863969,1
7079589028506927,3
7085935616135023,4
7092069066685040,1
7097546282333795,1
7108907416823219,1
7126474788353980,1
7151954904776733,1
7153683166713405,2
7168781505547062,1
7171808773453223,1
7180337028718681,1
7180374177114643,1
7193011160778607,1
7204413798466232,2
7208036148767948,1
7223828513416952,2
7231550910014699,1
7232491498080272,1
7252379489622387,1
7260417032162672,1
,1
7296130868825478,1
7299241784918124,2
7307290327885568,1
7340606465850279,2
7343414275348360,1
7350632138737322,1
7352779668642080,2
7382774438936506,1
7383504674605138,1
7396116031690332,2
7413212251955940,1
7437264811404467,1
7447763875010128,1
7454413874100121,3
7476317186271611,1
7478343530966764,1
7484168623443202,1
7484877716615388,1
7488891411802580,1
7496907734153571,1
,1
7509825762282809,1
7520507628146687,1
7524118771177792,1
7533716580087226,2
7534429458347788,1
,1
7541656677387985,1
7543434816051922,1
7555356752482552,1
7560710895902100,1
,1
7572989867173601,1
7590927901174241,1
7591932720398494,1
7637526462175133,1
7676440900896710,2
7690353008064199,1
7694449006717307,2
7715362049963406,2
7716788745643197,1
7731066245397390,1
,1
7748732302342787,1
7753986711626002,3
7755620071762489,1
7763087932625953,2
7775763811538723,1
7776771093557027,1
7814381638362185,1
7815699637530306,1
7824829483352663,2
7843592085965900,1
7848117355919213,1
7856689788815916,2
7867189229248342,2
7878356128265947,2
7878368377205087,1
7880839923738007,1
7902872438610230,1
7925314245070407,1
7926015745419305,1
7933449415404153,1
7951994933591176,1
,1
7969039767483668,1
7985867384251661,1
7987665386999899,2
7996091416535252,1
7996492206524171,1
7998397346679874,3
8000499154462974,1
8004673575466605,1
8007133043591125,1
8016615881378857,2
,1
8035174348862216,1
,1
8040265023303345,1
8073512877324742,1
8079547632427745,1
8084636655547829,1
8085894055722775,1
8094743298562984,1
8100349377054304,1
8112493825979697,1
8118842925218153,1
8134549014872750,1
8152824355342015,1
8157819312624780,1
8184572477220238,1
8187603731418683,1
8190454867816706,1
8196300398608911,1
8200428136613248,1
8206862209573772,1
8221523180562955,2
,1
8242841305562400,1
8256159827074633,3
8279848502288748,1
8304880221606064,1
8306424867167497,2
8310936324018646,2
8314453239513463,1
8332375879928307,1
8347509970941084,1
