Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0244287001731375,nan,nan,nan,nan,nan,nan,nan,nan,Letras Anglo Germânicas,Universidade Federal De Santa Maria,1959,1962,nan,nan,nan,nan,Educação,Universidade Federal Do Rio Grande Do Sul,1978,1979,Ciências Humanas Educação,Universidade Federal Do Rio Grande Do Sul,1985,1989
0249501011078363,nan,nan,nan,nan,nan,nan,nan,nan,História Natural,Pontifícia Universidade Católica Do Rio Grande Do Sul,1964,1967,nan,nan,nan,nan,Ecologia E Evolução Da Biodiversidade,Pontifícia Universidade Católica Do Rio Grande Do Sul,1981,1983,Zoologie,Eberhard Karls Universitaet Tuebingen,1990,1993
0252438295481654,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal Do Espírito Santo,1983,1986,nan,nan,nan,nan,Ciências Agrárias (fisiologia Vegetal),Universidade Federal De Viçosa,1988,1990,Ciências Agrárias (fisiologia Vegetal),Universidade Federal De Viçosa,1991,1995
0253893659766034,nan,nan,nan,nan,nan,nan,nan,nan,Química,Universidade Federal De Santa Catarina,1994,1997,nan,nan,nan,nan,Química,Universidade Federal De Santa Catarina,1998,1999,Química,Universidade Federal De Santa Catarina,1999,2003
0261885352003041,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Da Paraíba,1974,1978,nan,nan,nan,nan,Génie Electrique,Institut National Polytechnique De Toulouse,1979,1980,Génie Electrique,Institut National Polytechnique De Toulouse,1980,1983
0280057480652087,nan,nan,nan,nan,nan,nan,nan,nan,Matemática,Universidade Federal Do Rio De Janeiro,1983,1986,nan,nan,nan,nan,Matemática,Universidade Federal Do Rio De Janeiro,1986,1988,Matemática,Universidade Federal Do Rio De Janeiro,1991,1995
0286666531410312,nan,nan,nan,nan,Agropecuária,Escola Agrotécnica Federal De Sertão,1988,1990,Ciências Econômicas,Universidade De Passo Fundo,1993,2001,nan,nan,nan,nan,Agronegócios,Universidade Federal Do Rio Grande Do Sul,2002,2003,Agronegócios,Universidade Federal Do Rio Grande Do Sul,2004,2008
0287319108203303,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronômica,Escola Superior De Agricultura Luiz De Queiroz,1988,1992,nan,nan,nan,nan,Fitopatologia,Escola Superior De Agricultura Luiz De Queiroz,1993,1995,Fitopatologia,Escola Superior De Agricultura Luiz De Queiroz,1996,1999
0288146552740769,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal De Goiás,2001,2005,nan,nan,nan,nan,Ciência Do Solo,Universidade Federal De Lavras,2006,2007,Ciência Do Solo,Universidade Federal De Lavras,2007,2010
0288522400109962,nan,nan,nan,nan,nan,nan,nan,nan,Engenhari Civil,Universidade Federal Do Ceará,1997,2002,nan,nan,nan,nan,nan,nan,nan,nan,Economia,Fundação Getúlio Vargas,2003,2006
0294264745783506,nan,nan,nan,nan,nan,nan,nan,nan,Geologia,Universidade Federal Do Pará,1993,1998,nan,nan,nan,nan,Geologia E Geoquímica,Universidade Federal Do Pará,1999,2001,Geologia E Geoquímica,Universidade Federal Do Pará,2001,2006
0296723198831816,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal De Mato Grosso,1981,1985,nan,nan,nan,nan,Ciências Agrárias (fisiologia Vegetal),Universidade Federal De Viçosa,1989,1992,Ciências Agrárias (fisiologia Vegetal),Universidade Federal De Viçosa,1999,2003
0301425696999524,nan,nan,nan,nan,nan,nan,nan,nan,Odontologia,Universidade Federal Do Rio Grande Do Sul,1975,1978,nan,nan,nan,nan,Ciências Odontológicas,Universidade De São Paulo,1980,1982,Ciências Odontológicas,Universidade De São Paulo,1991,1993
0301446708793558,nan,nan,nan,nan,nan,nan,nan,nan,Ciencias Sociais,Universidade Estadual Do Ceará,1999,2004,nan,nan,nan,nan,Sociologia,Universidade Federal Do Ceará,2005,2007,Sociologia,Universidade Federal Do Ceará,2008,2012
0302689027695014,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Gödöllö Universidade De Ciências Agrícolas,1989,1994,nan,nan,nan,nan,nan,nan,nan,nan,Agronomy,Purdue University,1994,1999
0307370685516296,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Pontifícia Universidade Católica De Campinas,1986,1989,nan,nan,nan,nan,Ciências Biológicas (zoologia),Universidade Estadual Paulista Júlio De Mesquita Filho,1990,1992,Ciências Biológicas (zoologia),Universidade Estadual Paulista Júlio De Mesquita Filho,1992,1995
0307508005355403,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Civil,Escola Politécnica,1970,1973,nan,nan,nan,nan,Engenharia De Produção,Universidade Federal Do Rio De Janeiro,1974,1979,Urbanisme Et Aménagement Du Territoire,Université Paris-est Créteil Val-de-marne,1982,1987
0314035098884256,nan,nan,nan,nan,nan,nan,nan,nan,Licenciatura Plena Em Matemática,Universidade Federal Rural De Pernambuco,2005,2008,nan,nan,nan,nan,Ciências Da Computação,Universidade Federal De Pernambuco,2009,2011,Ciências Da Computação,Universidade Federal De Pernambuco,2011,2015
0327037150655150,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Metalúrgica,Universidade De São Paulo,1989,1993,nan,nan,nan,nan,Engenharia Metalúrgica,Universidade De São Paulo,1994,1996,Engenharia Metalúrgica,Universidade De São Paulo,1997,2001
0330238316162640,nan,nan,nan,nan,nan,nan,nan,nan,Engenheria Mecânica,Universidad Del Oriente Cuba,1997,2002,nan,nan,nan,nan,Engenharia Mecânica,Universidade Estadual Paulista Júlio De Mesquita Filho,2008,2010,Engenharia,Universidade Estadual Paulista Júlio De Mesquita Filho,2010,2014
0334475377635171,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Federal Do Rio Grande,2000,2004,nan,nan,nan,nan,Economia,Universidade Federal Da Paraíba,2007,2009,Programa De Pós Economia,Universidade Federal Do Rio Grande Do Sul,2009,2013
0335447705890131,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Federal De Alagoas,2004,2007,nan,nan,nan,nan,Economia,Universidade Federal De Alagoas,2008,2010,Economia,Pontifícia Universidade Católica Do Rio Grande Do Sul,2014,2016
0342367279777983,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Do Rio De Janeiro,1990,1995,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Do Rio De Janeiro,1995,1997,Engenharia Elétrica,Universidade Federal Do Rio De Janeiro,1997,1999
