Identificador,Grande Área,Área
1049137829843207,CIENCIAS_HUMANAS,Psicologia
1050746618632869,ENGENHARIAS,Engenharia Civil
1051299337471169,CIENCIAS_EXATAS_E_DA_TERRA,Química
1051763855783856,CIENCIAS_HUMANAS,Ciência Política
1054922336409334,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1055831656220644,CIENCIAS_BIOLOGICAS,Genética
1059924866210409,CIENCIAS_DA_SAUDE,Saúde Coletiva
1063790618901917,CIENCIAS_DA_SAUDE,Farmácia
1068643513710663,ENGENHARIAS,Engenharia Nuclear
1071521284494576,,
1072583605352186,CIENCIAS_EXATAS_E_DA_TERRA,Física
1077711232112285,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
1078501992095596,CIENCIAS_AGRARIAS,Agronomia
1081444223864667,CIENCIAS_HUMANAS,Educação
1090641466362716,CIENCIAS_HUMANAS,Educação
1092810690505352,ENGENHARIAS,Engenharia Civil
1093242836059112,ENGENHARIAS,Engenharia Mecânica
1095304607841635,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
1097952760431187,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
1097999681102529,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
1101716646731462,CIENCIAS_BIOLOGICAS,Botânica
1104080942110403,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1108807754131336,CIENCIAS_BIOLOGICAS,Biologia Geral
1112112146102164,CIENCIAS_HUMANAS,Sociologia
1112305218967437,CIENCIAS_AGRARIAS,Zootecnia
1112352398058967,ENGENHARIAS,Engenharia de Transportes
1112466940331009,CIENCIAS_AGRARIAS,Agronomia
1116186565279512,CIENCIAS_DA_SAUDE,Enfermagem
1120109274579134,CIENCIAS_AGRARIAS,Zootecnia
1120717096542450,CIENCIAS_SOCIAIS_APLICADAS,Administração
1123939877124649,ENGENHARIAS,Engenharia Mecânica
1123962153173475,CIENCIAS_EXATAS_E_DA_TERRA,Química
1129247214452992,CIENCIAS_SOCIAIS_APLICADAS,Economia
1131858526704034,ENGENHARIAS,Engenharia Civil
1133118124160525,ENGENHARIAS,Engenharia Elétrica
1139079330866028,CIENCIAS_HUMANAS,Ciência Política
1141660061525473,CIENCIAS_DA_SAUDE,Farmácia
1146514655934224,CIENCIAS_HUMANAS,Psicologia
1152828531273019,CIENCIAS_BIOLOGICAS,Genética
1159954352174167,CIENCIAS_EXATAS_E_DA_TERRA,Química
1164394299894445,OUTROS,"Robótica, Mecatrônica e Automação"
1168899390311014,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
1168989222280325,ENGENHARIAS,Engenharia Nuclear
1174072629046401,CIENCIAS_EXATAS_E_DA_TERRA,Química
1174194948048451,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
1180465052181572,CIENCIAS_BIOLOGICAS,Farmacologia
1181199965618168,CIENCIAS_AGRARIAS,Agronomia
1181660568548980,ENGENHARIAS,Engenharia Química
1183524198654764,CIENCIAS_AGRARIAS,Agronomia
1187896035778213,ENGENHARIAS,Engenharia Nuclear
1190292525097613,CIENCIAS_BIOLOGICAS,Bioquímica
1193726744591661,CIENCIAS_BIOLOGICAS,Zoologia
1199350032937783,CIENCIAS_EXATAS_E_DA_TERRA,Física
1205597617943504,CIENCIAS_AGRARIAS,Zootecnia
1209382022297634,ENGENHARIAS,Engenharia Elétrica
1210861529721065,CIENCIAS_HUMANAS,Sociologia
1217253540572819,CIENCIAS_AGRARIAS,Medicina Veterinária
1225895689761854,CIENCIAS_BIOLOGICAS,Parasitologia
1226621982374175,CIENCIAS_AGRARIAS,Agronomia
1227890222987126,CIENCIAS_HUMANAS,Ciência Política
1230433358991861,ENGENHARIAS,Engenharia de Produção
1233156130663707,,
1237671923222436,ENGENHARIAS,Engenharia Civil
1243531998877195,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
1244119451165905,ENGENHARIAS,Engenharia Química
1247433850237825,CIENCIAS_BIOLOGICAS,Farmacologia
1252443045127710,CIENCIAS_AGRARIAS,Zootecnia
1255270110503523,CIENCIAS_EXATAS_E_DA_TERRA,Química
1259500926303809,ENGENHARIAS,Engenharia Mecânica
1260299152113875,,
