source,target
Universidade Federal De Minas Gerais,"""University Of Wisconsin"
Universidade Presbiteriana Mackenzie,Université Paris 1 Pantheon-sorbonne
Universidade Presbiteriana Mackenzie,Université Paris 1 Pantheon-sorbonne
Université Paris 1 Pantheon-sorbonne,Université Paris 1 Pantheon-sorbonne
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Do Texas Em Austin
Universidade Estadual Paulista Júlio De Mesquita Filho,Faculdade De Medicina Veterinária E Zootecnia - Botucatu
Faculdade De Medicina Veterinária E Zootecnia - Botucatu,Faculdade De Medicina Veterinária E Zootecnia - Botucatu
Universidade Federal De São Carlos,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal De Viçosa,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Pelotas,Universidade Federal De Pelotas
Universidade Federal De Pelotas,Universidade De São Paulo
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Estadual De Maringá
Faculdade De Farmácia,Instituto De Microbiologia Prof. Paulo De Góes
Instituto De Microbiologia Prof. Paulo De Góes,University Of Manchester Institute Of Science And Technology
Universidade De Pernambuco,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Pontifícia Universidade Católica Do Rio De Janeiro
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Mogi Das Cruzes,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Pontifícia Universidade Católica De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio De Janeiro,Universidade Federal Fluminense
Universidade Federal Fluminense,Université De Montpellier 1
Universidade Federal De Pelotas,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Rural Do Rio De Janeiro,Universidade Federal Rural Do Rio De Janeiro
Universidade Federal Rural Do Rio De Janeiro,Universidade Federal Rural Do Rio De Janeiro
Universidade Federal Rural Do Rio De Janeiro,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,Université Paris 13 (paris-nord) - Campus De Villetaneuse
Universidade Federal Da Bahia,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Université Toulouse Iii Paul Sabatier
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Estadual De Maringá,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Metodista De Piracicaba,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal Do Pará,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Comunitária Regional De Chapecó,Universidade Integrada Do Alto Uruguai E Das Missões
Universidade Integrada Do Alto Uruguai E Das Missões,Universidade Estadual De Maringá
Universidade Do Chile,Universidade Do Chile
Universidade Do Chile,Universidade De São Paulo
Universidade Federal De São Carlos,Universidade Federal De São Carlos
Universidade Federal De São Carlos,Universidade Federal De São Carlos
Universidade Federal De Goiás,Universidade De São Paulo
Universidade De São Paulo,Universidade De Brasília
Universidade Federal Fluminense,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Ecole Des Haustes Etudes En Sciences Sociales
Universidade Católica De Pelotas,Pontifícia Universidade Católica Do Rio Grande Do Sul
Pontifícia Universidade Católica Do Rio Grande Do Sul,Universidade Estadual De Campinas
Universidade Federal De Viçosa,Escola De Engenharia De São Carlos
Escola De Engenharia De São Carlos,Escola De Engenharia De São Carlos
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal De Minas Gerais,"""Centro De Desenvolvimento Da Tecnologia Nuclear"
Universidade Federal De Santa Maria,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Pontifícia Universidade Católica Do Paraná,Pontifícia Universidade Católica De São Paulo
Pontifícia Universidade Católica De São Paulo,Universidade Estadual De Campinas
Universidade Federal Fluminense,Universidade Santa Úrsula
Universidade Santa Úrsula,Universitat De Barcelona
Universidade Federal Da Paraíba,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade Federal Da Paraíba
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Harvard University,University Of California Los Angeles
University Of California Los Angeles,University Of California Los Angeles
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal De São Carlos
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal Da Bahia,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Da Bahia,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De Viçosa,Universidade Federal De Viçosa
