CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Quimica Industrial,2001.0,1,Gestão E Matemática - Prog. Esp. De Form. Ped.. P. Docentes,2007.0,1.0,,,,,,
Química,1969.0,1,Engenharia Industrial Mecânica,1988.0,1.0,,,,,,
Química,1976.0,1,Formacao De Docentes,2011.0,1.0,,,,,,
Química,1980.0,1,Engenharia Industrial Eletrica,1994.0,1.0,,,,,,
Química,1983.0,1,Engenharia De Produção Civil,2011.0,1.0,,,,,,
Química,1987.0,1,Engenharia De Produção Civil,2013.0,1.0,,,,,,
Química,1989.0,1,Engenharia De Produção E Engenharia Civil,2002.0,1.0,,,,,,
Química,2001.0,1,Engenharia De Transportes,2015.0,1.0,,,,,,
Quimica,1998.0,1,Engenharia Eletrica,2007.0,1.0,,,,,,
Estradas,2007.0,1,Engenharia Eletrica,2008.0,1.0,,,,,,
Informática Industrial,1997.0,1,Engenharia Elétrica,1978.0,1.0,,,,,,
Edificações,1983.0,1,Engenharia Elétrica,1987.0,1.0,,,,,,
 Química,1990.0,1,Engenharia Elétrica,1990.0,1.0,,,,,,
 Química,1992.0,1,Engenharia Elétrica,1992.0,1.0,,,,,,
 Química,1995.0,1,Engenharia Elétrica,1995.0,1.0,,,,,,
 Química,2003.0,1,Engenharia Elétrica,1996.0,1.0,,,,,,
 Química,2009.0,1,Engenharia Elétrica,1997.0,1.0,,,,,,
 Química Industrial,1992.0,1,Engenharia Elétrica,2003.0,1.0,,,,,,
 Química Industrial,1997.0,1,Engenharia Elétrica,2004.0,1.0,,,,,,
 Química Industrial,2002.0,1,Engenharia Elétrica,2006.0,1.0,,,,,,
Automação Industrial,2011.0,1,Engenharia Elétrica,2009.0,1.0,,,,,,
Ead - Meio Ambiente,2018.0,1,Engenharia De Operações Mecânica,1977.0,1.0,,,,,,
Edificações,1973.0,1,Engenharia De Operação Mecânica,1974.0,1.0,,,,,,
Edificações,1976.0,1,Engenharia De Operação Elétrica,1977.0,1.0,,,,,,
Edificações,1982.0,1,Engenharia Ambiental E Sanitária,2013.0,1.0,,,,,,
Edificações,1989.0,1,Controle De Processos Industrais,2010.0,1.0,,,,,,
Informática Industrial,1991.0,1,Eletrônica,1988.0,1.0,,,,,,
Edificações,1991.0,1,Eng. Ind. Mecânica,1984.0,1.0,,,,,,
Edificações,1993.0,1,Engeharia Mecanica,2007.0,1.0,,,,,,
Edificações,1996.0,1,Engenhari Industrial Elétrica,2004.0,1.0,,,,,,
Edificações,2001.0,1,Engenhari Mecânica,1984.0,1.0,,,,,,
Edificações,2002.0,1,Engenharia Ambiental E Sanitária,2012.0,1.0,,,,,,
Edificações,2003.0,1,Engenharia De Automação Industrial,2006.0,1.0,,,,,,
Edificações,2008.0,1,Engenharia De Minas,2011.0,1.0,,,,,,
Edificações / Construção Civil,2000.0,1,Engenharia De Automação Industrial,2007.0,1.0,,,,,,
Edificações: Planejamento E Projetos,2001.0,1,Engenharia De Automação Industrial,2020.0,1.0,,,,,,
Eletroeletrônica,2018.0,1,Engenharia De Computação,2009.0,1.0,,,,,,
Eletromecanica,2002.0,1,Engenharia De Computação,2012.0,1.0,,,,,,
Eletromecanica,2005.0,1,Engenharia De Controle E Automação,2007.0,1.0,,,,,,
Eletromecânica,1992.0,1,Engenharia De Materiais,2010.0,1.0,,,,,,
 Química,1986.0,1,Engenharia De Materiais,2015.0,1.0,,,,,,
 Química,1979.0,1,Engenharia Industrial Eletrica,1985.0,1.0,,,,,,
 Meânica,1978.0,1,Engenharia Industrial Eletrica,1995.0,1.0,,,,,,
 Metalurgia,2001.0,1,Engenharia Sanitária E Ambiental,2020.0,1.0,,,,,,
 Agrícola,2004.0,1,Engenharia Industrial Eletrica,1996.0,1.0,,,,,,
 Edificações,1986.0,1,Engenharia Industrial Mecânica,1998.0,1.0,,,,,,
 Eletromecânica,1991.0,1,Engenharia Industrial Mecânica,2001.0,1.0,,,,,,
 Eletromecânica,1994.0,1,Engenharia Insutrial Eletrica,1974.0,1.0,,,,,,
 Eletronica,1995.0,1,Engenharia Mecanica,1985.0,1.0,,,,,,
 Eletronica,2004.0,1,Engenharia Mecanica,1998.0,1.0,,,,,,
 Eletrotécnica,1977.0,1,Engenharia Mecatrônica,2011.0,1.0,,,,,,
