CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
,,,Engenharia Civil,1998.0,3.0,Zootecnia,2011.0,2.0,Economia,2000.0,2
,,,Zootecnia,2004.0,3.0,Zootecnia,2009.0,2.0,Engenharia Civil,2011.0,2
,,,Ciências Sociais,1987.0,3.0,Zootecnia,2008.0,2.0,Engenharia Aeronâutica E Mecânica,2009.0,2
,,,Zootecnia,2005.0,3.0,Zootecnia,2007.0,2.0,Biologia Vegetal,2010.0,2
,,,Engenharia Civil,1973.0,3.0,Zootecnia,2006.0,2.0,Ciências Biológicas,2006.0,2
,,,Ciências Sociais,1988.0,3.0,Administração De Empresas,1997.0,2.0,Educação,2013.0,2
,,,Ciências Econômicas,1994.0,3.0,Ciências Biológicas (botânica),1997.0,2.0,Educação,2011.0,2
,,,Ciência Da Computação,2007.0,3.0,Ciências Biológicas (entomologia),2000.0,2.0,Economia,1993.0,2
,,,Engenharia Civil,1976.0,3.0,Administração,2001.0,2.0,Engenharia Civil,2007.0,2
,,,Engenharia Agronômica,1996.0,3.0,Ciências Biológicas,2003.0,2.0,Antropologia Social,2011.0,2
,,,Engenharia Agronômica,1997.0,3.0,Ciências Biológicas (biofísica),1980.0,2.0,Engenharia De Alimentos,1997.0,2
,,,Engenharia Florestal,2007.0,3.0,Ciências Biológicas (biofísica),1982.0,2.0,Ciências Biológicas (zoologia),2011.0,2
,,,Engenharia Civil,1979.0,3.0,Ciências Biológicas (biofísica),1993.0,2.0,Doutorado - Letras,2012.0,2
,,,Engenharia Civil,1980.0,3.0,Ciências (microbiologia),2002.0,2.0,Ciências Biológicas (zoologia),2007.0,2
,,,Ciências Biológicas,1979.0,3.0,Ciências Agrárias (fisiologia Vegetal),1991.0,2.0,Ciências Biológicas (zoologia),2006.0,2
,,,Engenharia Florestal,2002.0,3.0,Ciências Ambientais E Florestais,2000.0,2.0,Zoologia,1997.0,2
,,,Ciências Biológicas,2007.0,3.0,Ciências Biológicas (biologia Molecular),1989.0,2.0,Zoologia,1995.0,2
,,,Engenharia Mecânica,1976.0,3.0,Zootecnia,1998.0,2.0,Ciência E Tecnologia Da Madeira,2014.0,2
,,,Engenharia Mecânica,1982.0,3.0,Química,2007.0,2.0,Ciências Biológicas (zoologia),2004.0,2
,,,Agronomia,1984.0,3.0,Química,2010.0,2.0,Ciências Biológicas (zoologia),2003.0,2
,,,Agronomia,1993.0,3.0,Física,1999.0,2.0,Ciências Biológicas (biologia Molecular),1995.0,2
,,,Engenharia Mecânica,1986.0,3.0,Física,2007.0,2.0,Engenharia De Produção,2003.0,2
