CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Eletrônica,1976.0,1.0,Engenharia Civil,1997.0,13.0,Sociologia,2001.0,8.0,História,1997.0,8
Eletrônica,1977.0,1.0,Engenharia Civil,1988.0,13.0,Engenharia De Produção,1996.0,8.0,Ciências Da Computação,2004.0,8
Eletrônica,1979.0,1.0,Farmácia,1999.0,13.0,Engenharia De Produção,1998.0,8.0,Engenharia Civil,1991.0,8
Eletrônica,1982.0,1.0,Geologia,1987.0,13.0,Geologia,1992.0,8.0,Lingüística,1994.0,8
Eletrônica,1987.0,1.0,Psicologia,1992.0,13.0,História,1991.0,8.0,História,2003.0,8
Eletrônica,1993.0,1.0,Odontologia,1996.0,13.0,História,1993.0,8.0,Sociologia,1992.0,8
Eletrônica,1997.0,1.0,Ciências Sociais,1993.0,13.0,Engenharia Mecânica,1999.0,8.0,Sociologia,1993.0,8
Eletrônica,2000.0,1.0,Psicologia,1986.0,13.0,Engenharia Mecânica,2002.0,8.0,Lingüística,2003.0,8
Eletrônica,2006.0,1.0,Química,1993.0,13.0,Enfermagem,1999.0,8.0,Sociologia,1998.0,8
Eletrônica (2o Grau),1987.0,1.0,Química,2000.0,13.0,Sociologia,1994.0,8.0,Sociologia,2001.0,8
Eletrônica (2o. Grau Profissionalizante),1991.0,1.0,Psicologia,1977.0,13.0,Química,1979.0,8.0,Engenharia Mecânica,1988.0,8
Eletromecânica,1997.0,1.0,Química,2001.0,13.0,Letras,1998.0,8.0,Tecnologia Nuclear,1993.0,8
Eletrônica Industrial,1993.0,1.0,Química,2006.0,13.0,Letras,2002.0,8.0,Economia,2001.0,8
Enfermagem,1996.0,1.0,Odontologia,1994.0,12.0,Ciências Biológicas (biofísica),1992.0,8.0,Bioquímica E Imunologia,2002.0,8
