CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
,,,Engenharia Mecânica,1983.0,3.0,Engenharia Química,2007.0,2.0,Engenharia Química,2005.0,2
,,,Engenharia Mecânica,1984.0,3.0,Entomologia,1993.0,2.0,Engenharia Química,2002.0,2
,,,Engenharia Mecânica,1989.0,3.0,Engenharia Química,1985.0,2.0,Farmacologia,1991.0,2
,,,Engenharia Mecânica,1994.0,3.0,Engenharia Química,1986.0,2.0,Epidemiologia Experimental Aplicada Às Zoonoses,2002.0,2
,,,Engenharia Metalúrgica,1974.0,3.0,Engenharia Química,1990.0,2.0,Filosofia,1992.0,2
,,,Engenharia Civil,1967.0,3.0,Engenharia Química,1991.0,2.0,Solos E Nutrição De Plantas,2008.0,2
,,,Engenharia Química,1972.0,3.0,Antropologia Social,1989.0,2.0,Informática,1997.0,2
,,,Engenharia Química,1974.0,3.0,Antropologia Social,1992.0,2.0,Informática,2000.0,2
,,,Engenharia Civil,1970.0,3.0,Antropologia Social,1995.0,2.0,Zootecnia,1987.0,2
,,,Engenharia Química,1978.0,3.0,Antropologia Social,2005.0,2.0,Administração De Empresas,2006.0,2
,,,Engenharia Química,1980.0,3.0,Engenharia Química,1993.0,2.0,Zootecnia,1989.0,2
,,,Economia,1999.0,3.0,Engenharia Química,1995.0,2.0,Zootecnia,1992.0,2
,,,Engenharia Química,1982.0,3.0,Engenharia Química,2000.0,2.0,História Social,1998.0,2
,,,Engenharia Química,1989.0,3.0,Engenharia Química,2003.0,2.0,História Social,1987.0,2
,,,Engenharia Civil,1972.0,3.0,Engenharia Nuclear,1982.0,2.0,Geologia,1989.0,2
,,,Engenharia Química,1993.0,3.0,Engenharia Nuclear,1992.0,2.0,Geologia,1992.0,2
,,,Engenharia Civil,1975.0,3.0,Arquitetura E Urbanismo,2001.0,2.0,Geografia,2009.0,2
,,,Ciências Biológicas,1971.0,3.0,Engenharia Química,1983.0,2.0,Geografia,2006.0,2
,,,Engenharia Civil,1977.0,3.0,Engenharia Metalúrgica,1994.0,2.0,Geologia,2013.0,2
,,,Engenharia Civil,1978.0,3.0,Engenharia Metalúrgica E De Minas,1987.0,2.0,Geologia,1995.0,2
,,,Engenharia Química,2001.0,3.0,Antropologia Social,1980.0,2.0,Agronomia (solos E Nutrição De Plantas),2002.0,2
,,,Farmácia,1984.0,3.0,Física,1988.0,2.0,Geotecnia,2004.0,2
,,,Farmácia,1990.0,3.0,Física,1992.0,2.0,Genética E Biologia Molecular,2001.0,2
,,,Farmácia,1998.0,3.0,Física,1993.0,2.0,Genética E Melhoramento,1993.0,2
,,,Física,1970.0,3.0,Física,1964.0,2.0,Genética E Melhoramento De Plantas,1996.0,2
,,,Física,1973.0,3.0,Fitotecnia,1998.0,2.0,Sociologia,2007.0,2
,,,Física,1977.0,3.0,Fitopatologia,1987.0,2.0,Sociologia,2008.0,2
,,,Física,1978.0,3.0,Fitopatologia,1993.0,2.0,Ciência E Engenharia Dos Materiais,2001.0,2
,,,Física,1986.0,3.0,Farmacologia,1988.0,2.0,Ciência Do Solo,2010.0,2
,,,Ciências Econômicas,1989.0,3.0,Farmacologia,1992.0,2.0,Ciência Florestal,1997.0,2
,,,Física,1991.0,3.0,Filosofia,1987.0,2.0,Zootecnia,1999.0,2
,,,Engenharia Florestal,1993.0,3.0,Engenharia Mecânica,2000.0,2.0,Zootecnia,2001.0,2
,,,Física,1992.0,3.0,Engenharia Mecânica,2007.0,2.0,Soil Science,1993.0,2
,,,Ciências Econômicas,1992.0,3.0,Engenharia Mecânica,1977.0,2.0,Zootecnia,2007.0,2
,,,Física,1996.0,3.0,Engenharia Mecânica,1983.0,2.0,Zoologia,1990.0,2
,,,Ciências Econômicas,1999.0,3.0,Engenharia Mecânica,1985.0,2.0,Agronomia,2008.0,2
,,,Física,1998.0,3.0,Engenharia Mecânica,1986.0,2.0,Agronomia,1999.0,2
,,,Física,2000.0,3.0,Engenharia Mecânica,1988.0,2.0,Agronomia,1990.0,2
,,,Física,2001.0,3.0,Engenharia Florestal,1996.0,2.0,Biologia Celular E Molecular,1997.0,2
,,,Física,2003.0,3.0,Biologia Parasitária,1989.0,2.0,Engenharia Elétrica,1993.0,2
,,,Geografia,1998.0,3.0,Engenharia Florestal,2002.0,2.0,Biologia Celular E Molecular,2003.0,2
,,,Engenharia Civil,2000.0,3.0,Engenharia Florestal,2004.0,2.0,Biologia Celular E Molecular,2002.0,2
,,,Geologia,1977.0,3.0,Engenharia Elétrica,2003.0,2.0,Engenharia Elétrica,2007.0,2
,,,Engenharia Civil,2002.0,3.0,Biologia Vegetal,2004.0,2.0,Engenharia Elétrica,2001.0,2
,,,Geologia,1987.0,3.0,Biologia Vegetal,2006.0,2.0,Engenharia Elétrica,2000.0,2
,,,Geologia,1992.0,3.0,Biologia Celular E Molecular,2000.0,2.0,Engenharia Elétrica,1996.0,2
,,,História,1987.0,3.0,Engenharia Elétrica,2012.0,2.0,Engenharia Elétrica,2014.0,2
,,,Engenharia Florestal,2000.0,3.0,Engenharia Elétrica E Informática Industrial,2000.0,2.0,Engenharia Elétrica,2010.0,2
,,,História Natural,1967.0,3.0,Genética E Melhoramento De Plantas,1996.0,2.0,Matemática,1991.0,2
,,,Matemática,1983.0,3.0,Genética E Biologia Molecular,1975.0,2.0,Lingüística,1976.0,2
,,,Matemática,2003.0,3.0,Genética E Melhoramento,1981.0,2.0,Letras,2013.0,2
,,,Matemática,2006.0,3.0,Física,2012.0,2.0,Engenharia Florestal,2000.0,2
,,,Medicina Veterinária,1982.0,3.0,Física,1995.0,2.0,Engenharia Florestal,1998.0,2
,,,Medicina Veterinária,1988.0,3.0,Física,1996.0,2.0,Engenharia Elétrica E Informática Industrial,2001.0,2
,,,Medicina Veterinária,1989.0,3.0,Física,2008.0,2.0,Agronomia (genética E Melhoramento De Plantas),1992.0,2
,,,Medicina Veterinária,1991.0,3.0,Física,2009.0,2.0,Matemática,2004.0,2
,,,Medicina Veterinária,1993.0,3.0,Física,2011.0,2.0,Matemática,2007.0,2
,,,Medicina Veterinária,1995.0,3.0,Física,1978.0,2.0,Medicina Veterinária,2006.0,2
,,,Ciências Sociais,1985.0,3.0,Física,1980.0,2.0,Plant Breeding And Plant Genetics,1995.0,2
,,,Química,1990.0,3.0,Física,1982.0,2.0,Pesquisa Clinica Em Doenças Infecciosas,2006.0,2
,,,Engenharia Elétrica,1995.0,3.0,Engenharia Elétrica,1985.0,2.0,Matemática,1998.0,2
,,,Química,1996.0,3.0,Engenharia Elétrica,1987.0,2.0,Matemática,2000.0,2
,,,Química,1997.0,3.0,Engenharia Elétrica,1990.0,2.0,Psicologia,1996.0,2
,,,Química Industrial,1981.0,3.0,Engenharia Elétrica,1995.0,2.0,Engenharia Mecânica,1999.0,2
,,,Química Industrial,1984.0,3.0,Engenharia Elétrica,1998.0,2.0,Engenharia Mecânica,1994.0,2
,,,Ciências Sociais,1994.0,3.0,Engenharia Elétrica,2001.0,2.0,Engenharia Mecânica,1995.0,2
,,,Zootecnia,1992.0,2.0,Engenharia Elétrica,1976.0,2.0,Engenharia Mecânica,1991.0,2
,,,Zootecnia,1996.0,2.0,Engenharia Elétrica,1978.0,2.0,Engenharia Florestal,2006.0,2
,,,Zootecnia,2000.0,2.0,Engenharia Elétrica,1981.0,2.0,Psicologia,2000.0,2
,,,Ciências Biológicas,2004.0,2.0,Engenharia De Produção,2002.0,2.0,Psicologia,1998.0,2
,,,Ciências Biológicas,2005.0,2.0,Engenharia De Produção,2004.0,2.0,Farmacologia,1997.0,2
,,,Engenharia Mecanica,1991.0,2.0,Engenharia De Processos Quimicos E Bioquimicos,1986.0,2.0,Engenharia Civil,1998.0,2
,,,Engenharia Florestal,1988.0,2.0,Engenharia De Produção,1994.0,2.0,Engenharia Civil,2010.0,2
,,,Engenharia Florestal,1998.0,2.0,"Engenharia De Minas, Metalúrgica E De Materiais",1987.0,2.0,Engenharia Civil,2008.0,2
,,,Engenharia Florestal,1990.0,2.0,Engenharia De Alimentos,1992.0,2.0,Biologia Vegetal,1995.0,2
,,,Agronomia,1969.0,2.0,Engenharia De Alimentos,2004.0,2.0,Engenharia De Alimentos,1993.0,2
,,,Agronomia,1970.0,2.0,Engenharia De Infra-estrutura Aeronáutica,1998.0,2.0,Engenharia Civil,1990.0,2
,,,Agronomia,1975.0,2.0,Engenharia Civil,2004.0,2.0,Engenharia Civil,1994.0,2
,,,Engenharia Elétrica,1969.0,2.0,Engenharia Civil,2006.0,2.0,Biologia Vegetal,2006.0,2
,,,Agronomia,2000.0,2.0,Geologia,2003.0,2.0,Engenharia Civil,1980.0,2
,,,Agronomia,2004.0,2.0,Geografia,1998.0,2.0,Engenharia Biomédica,1993.0,2
,,,Agronomia,2005.0,2.0,Geografia,2005.0,2.0,Engenharia Biomédica,1998.0,2
,,,Engenharia Elétrica,1973.0,2.0,Geologia,1981.0,2.0,Engenharia Agrícola,2006.0,2
,,,Engenharia De Computação,1994.0,2.0,Geociências,1997.0,2.0,Engenharia Civil,1989.0,2
,,,Engenharia Elétrica,1975.0,2.0,Genética E Melhoramento De Plantas,1997.0,2.0,Engenharia Elétrica,1981.0,2
,,,Economia,1978.0,2.0,Genética E Melhoramento De Plantas,2004.0,2.0,Engenharia Elétrica,1986.0,2
,,,Economia,1979.0,2.0,Geociências,1990.0,2.0,Engenharia De Sistemas E Computação,1994.0,2
,,,Engenharia Elétrica,1977.0,2.0,Geociências,1992.0,2.0,Engenharia De Sistemas E Computação,1995.0,2
,,,Economia,1981.0,2.0,Genética E Melhoramento,1990.0,2.0,Engenharia Eletrica,1993.0,2
,,,Economia,1982.0,2.0,Genética E Melhoramento,1991.0,2.0,Psicologia,2001.0,2
,,,Arquitetura E Urbanismo,1969.0,2.0,Agroquímica,1987.0,2.0,Psicologia,2010.0,2
,,,Engenharia Elétrica,1979.0,2.0,Genética E Melhoramento Animal,1992.0,2.0,Agronomia (fitopatologia),1996.0,2
,,,Engenharia Civil,1969.0,2.0,Matemática,1986.0,2.0,Agronomia (fitotecnia),1994.0,2
,,,Economia,1994.0,2.0,Informática,1998.0,2.0,Agronomia (fitotecnia),2001.0,2
